test_th=-5
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
18,0.6981266303059047,0.9827777777777778,0.9793745841650033,0.829218370218754,0.8151737505191748,0.9742956419782363,0.01722222222222225
20,1.0,0.8962839711591791,0.8920634920634921,0.9441540988502315,0.9429530201342283,0.9956796725971471,0.10371602884082087
23,0.8881959910913141,0.9439413540319103,0.9387947269303202,0.9165205959684487,0.91279468986038,0.9776187992866134,0.05605864596808974
 
 
 
test_th=-3
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,0.976837416481069,1.0,1.0,0.9882618510158013,0.9882830103650293,0.9999806332913721,0.0
3,0.9976838448176027,0.8242424242424242,0.8559364133134625,0.912940479715724,0.9213903743315507,0.9961200452703058,0.17575757575757578
5,0.973763440860215,0.9876984126984127,0.9864923747276688,0.9810113519091848,0.98008658008658,0.9980685270523981,0.012301587301587258
6,0.7417355371900827,0.8974358974358975,0.8650602409638555,0.8242718446601942,0.7986651835372637,0.925991385508431,0.10256410256410253
8,0.9866369710467706,0.99,0.9899441340782122,0.9883203559510567,0.9882877858337981,0.9996077703538728,0.010000000000000009
10,0.848291835552982,0.8741025641025642,0.8564747149956153,0.8619798748980146,0.8523636363636363,0.9433699315546449,0.12589743589743585
13,0.9879569892473118,0.9995238095238095,0.9995648389904265,0.9934463276836158,0.9937270170884707,0.99997910906298,0.0004761904761905189
14,0.835931700074239,0.9413333333333334,0.9623931623931624,0.8736289938006676,0.8947159316646801,0.9655134867607028,0.058666666666666645
16,0.7305122494432071,0.87,0.8486416558861578,0.800333704115684,0.7851585876720526,0.8890249938134126,0.13
18,0.9784206782072563,0.8777777777777778,0.9036355672360928,0.9320711270308303,0.939542297620403,0.9908072813743315,0.12222222222222223
20,0.9967648010352637,0.9994453688297282,0.9993512812195913,0.9982081529042856,0.9980563654033041,0.9999892339468728,0.0005546311702717688
23,0.999554565701559,0.9499784389823199,0.9508474576271186,0.974364592462752,0.9745928338762214,0.9997919769964592,0.05002156101768007
 
 
 
test_th=-2
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,0.9429844097995546,1.0,1.0,0.9711060948081264,0.9706556625401193,0.9999616743029259,0.0
3,0.8688477127967574,0.9945454545454545,0.9940377608479629,0.9302635475273912,0.9272362119573615,0.9969771542875191,0.00545454545454549
5,0.9823655913978495,0.9904761904761905,0.9896013864818024,0.9865841073271414,0.9859702136844377,0.9993217272572111,0.00952380952380949
6,0.5965909090909091,0.9088827838827839,0.8530280649926145,0.7621359223300971,0.702127659574468,0.8946612100021192,0.09111721611721613
8,0.9365256124721604,0.9944444444444445,0.9940898345153665,0.9655172413793104,0.9644495412844036,0.9986537985647118,0.005555555555555536
10,0.9646786334684424,0.9882051282051282,0.9863824748371818,0.9771552896382921,0.9754098360655739,0.9979021721378409,0.01179487179487182
13,0.4012903225806452,1.0,1.0,0.6854237288135593,0.572744014732965,0.9998105478750641,0.0
14,0.8752783964365256,0.9986666666666667,0.9991525423728813,0.9194086790653314,0.9331222793826671,0.9981232368225686,0.0013333333333332975
16,0.07126948775055679,0.8233333333333334,0.28699551569506726,0.44771968854282534,0.11418376449598573,0.4978940856223707,0.17666666666666664
18,0.9938344794877876,0.9922222222222222,0.9933633562455558,0.9930919790200844,0.9935988620199147,0.9995720364661556,0.007777777777777772
20,0.9996764801035264,0.997504159733777,0.9970958373668926,0.9985067940869046,0.9983844911147012,0.9999990131117967,0.0024958402662229595
23,0.9870824053452116,0.9961190168175937,0.9959550561797753,0.9916739702015775,0.9914988814317673,0.9997499114029451,0.0038809831824062613
 
 
 
