 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,5,0.3524301075268817,0.6926190476190476,0.47303490115282704,0.5293704850361197,0.3987922267596098,0.5236254138931559,0.30738095238095237
 
remaining,1,0.9991091314031181,0.9994769532526969,0.9994912704177903,0.9992905514350211,0.999299364095055,0.9999984564878839,0.000523046747303048
remaining,2,0.9946122448979592,0.9935648148148148,0.9924682701133913,0.9940462789243277,0.9935327502908159,0.9998313983371127,0.006435185185185192
remaining,3,0.9832561281605868,0.9877272727272728,0.9883754227358604,0.9854407264830719,0.9856365230591,0.9994432892912917,0.012272727272727268
remaining,6,0.9026629935720845,0.8623829873829875,0.8636955266872126,0.8813106796116505,0.8794320733658307,0.9632326979628115,0.13761701261701262
remaining,8,0.9924276169265033,0.9933333333333334,0.9933864465641122,0.992880978865406,0.9928811974202022,0.9991927740658253,0.006666666666666687
remaining,9,0.9955465966622914,0.985786997022952,0.9863227578292595,0.9907253664784856,0.9908881637762651,0.999705411399506,0.014213002977047917
remaining,10,0.9431094383323683,0.991025641025641,0.9893051309605796,0.9685205330432418,0.9655027566341171,0.9967183594890602,0.008974358974358979
remaining,13,0.947741935483871,0.9948412698412699,0.9953701817460767,0.9700941619585687,0.968131448746797,0.9997817716333844,0.005158730158730178
remaining,14,0.7878000494926999,0.9617777777777778,0.9726475199695525,0.8500238435860753,0.8671421331186022,0.9654412274189555,0.03822222222222221
remaining,16,0.7093541202672605,0.9209259259259258,0.9021212439956225,0.8152576937337783,0.7871295288612319,0.9295908603480988,0.07907407407407409
remaining,17,0.941351150705271,0.9715555555555556,0.9129410008248312,0.9645972293483838,0.9252598918705068,0.9934309576837416,0.028444444444444456
remaining,18,0.9861671014149079,0.9955555555555554,0.9961844165682758,0.9904908106264125,0.9911123221708599,0.9998011905075576,0.004444444444444436
remaining,19,0.9977523038885142,0.9976888888888888,0.9976613262459596,0.9977204156889038,0.9977054295127208,0.9999530621113358,0.0023111111111111158
remaining,20,1.0,0.9938435940099832,0.9929276056460836,0.9966850828729281,0.9964366511899984,0.9999985465828278,0.006156405990016633
remaining,21,0.9573748991121872,0.9573232323232324,0.9587471233822097,0.9573490813648293,0.9577618108638993,0.9914935727329794,0.042676767676767646
remaining,22,0.8864142538975501,0.8916481505685532,0.5072459337165219,0.8910983740788396,0.6401736867061985,0.9505724247001498,0.10835184943144688
remaining,23,0.9902004454342984,0.9900819318671841,0.9897642773343283,0.9901402278702893,0.9899670966282634,0.9994402394857627,0.009918068132815861
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,6,0.716712580348944,0.571988196988197,0.6161581070624758,0.6399946062567422,0.6572669801728043,0.6970814854337583,0.428011803011803
 
remaining,1,0.999554565701559,0.9998692383131742,0.999872733032337,0.9997097710415994,0.9997135430259991,0.9999997087712987,0.00013076168682576598
remaining,2,0.9973877551020408,0.9957407407407407,0.9950100034588152,0.9964978111319575,0.9961961576376459,0.9999483446712017,0.004259259259259222
remaining,3,0.9955124493341053,0.9902020202020202,0.9908228508388137,0.9929177771197315,0.9931084424807434,0.9998905236499329,0.009797979797979806
remaining,5,0.9885591397849464,0.99,0.989243374939966,0.9893085655314758,0.9888053654325748,0.9996463218979349,0.010000000000000009
remaining,8,0.9959910913140313,0.9937777777777779,0.9938392957065659,0.9948832035595107,0.9948955145138804,0.9997114575600099,0.0062222222222222175
remaining,9,0.9942574535908494,0.9934697013348698,0.9936392490762038,0.9938683049480525,0.993940937455755,0.9997719546052009,0.006530298665130135
remaining,10,0.9737502412661647,0.9841452991452991,0.9818253960058582,0.9792629861299972,0.9777106327726953,0.9970091718260509,0.015854700854700865
remaining,13,0.9857347670250896,0.9915079365079366,0.9925349999196774,0.9884745762711865,0.9888743837350166,0.9998822324628778,0.008492063492063514
remaining,14,0.9496411779262558,0.9586666666666667,0.9765581191427488,0.9528691781910666,0.9626143443391677,0.9890358822073743,0.04133333333333333
remaining,16,0.9123979213066072,0.851111111111111,0.8641596183578603,0.8817204301075269,0.8859730186451368,0.9521265363358905,0.14888888888888888
remaining,17,0.9784706755753526,0.9797777777777777,0.9367533875532038,0.9794766546947152,0.9568475073458503,0.9969317000742391,0.020222222222222214
remaining,18,0.9964034463678763,0.9955092592592593,0.9961710002595408,0.9959916421474563,0.9962821951065576,0.9999409137617579,0.004490740740740721
remaining,19,0.9995055068554731,0.9941333333333332,0.9941033784278676,0.9968041121913064,0.9967958258007318,0.9999880002996928,0.005866666666666687
remaining,20,0.9993529602070528,0.9964503605102607,0.9958874975648475,0.9977900552486186,0.9976133260198399,0.9999959627300774,0.00354963948973932
remaining,21,0.9911723163841808,0.9448484848484848,0.949931128481215,0.9680244296386028,0.9695097162598876,0.9948790161502026,0.055151515151515146
remaining,22,0.977728285077951,0.8444647758462946,0.4443745438682605,0.8584629781260966,0.6056540582108068,0.9478185159428627,0.15553522415370535
remaining,23,0.9973273942093541,0.9710219922380336,0.9711601009417292,0.9839614373356704,0.9840017485176709,0.9993007123299249,0.028978007761966372
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,8,0.6195991091314031,0.060888888888888895,0.37506705813689295,0.3399332591768632,0.46494350990647126,0.17286142044048505,0.9391111111111112
 
remaining,1,0.9995545657015591,0.9995423340961098,0.9995551034031775,0.999548532731377,0.9995545370507288,0.9999993010511171,0.0004576659038901492
remaining,2,0.9951020408163265,0.9948611111111112,0.9939665510241511,0.9949718574108818,0.9945336011786461,0.9998476492819349,0.005138888888888878
remaining,3,0.9873093997297818,0.9927272727272727,0.9931739121714468,0.989956568946797,0.9900438812682171,0.9998474320506746,0.007272727272727264
remaining,5,0.9832258064516128,0.983968253968254,0.9828466369639856,0.9836119711042312,0.9828673792633051,0.9990487455197133,0.016031746031745998
remaining,6,0.8558884297520661,0.9275539275539276,0.9167957482674957,0.8938781014023731,0.8794490486925244,0.9743855812747859,0.07244607244607246
remaining,9,0.9955934745921621,0.991020839335446,0.9913249335636886,0.9933345984154847,0.993438531387178,0.9997755504706081,0.008979160664553926
remaining,10,0.983111368461687,0.9529059829059828,0.9494097356030861,0.967092738645635,0.9658069389106675,0.9947434660173512,0.047094017094017115
remaining,13,0.9658781362007168,0.9916666666666667,0.9926479697216498,0.9781167608286253,0.9778753994404051,0.99980034135518,0.00833333333333334
remaining,14,0.9665924276169265,0.9242222222222223,0.9599240056034225,0.9514385630265458,0.9628031906145509,0.9876340839726141,0.07577777777777778
remaining,16,0.8281365998515219,0.8598148148148148,0.8571918722914775,0.8439933259176864,0.840813914096033,0.9211560669801204,0.1401851851851852
remaining,17,0.9060876020786934,0.9795555555555556,0.9297849619165848,0.9626304087566272,0.9171724791156501,0.9910204157386785,0.020444444444444414
remaining,18,0.9860485337127499,0.997638888888889,0.9979671068255488,0.9913862948275126,0.9919359310096234,0.9998835950605574,0.0023611111111110916
remaining,19,0.9985614744886492,0.9993777777777778,0.9993696366482568,0.9989719521734273,0.9989651707524959,0.9999886416423166,0.0006222222222221907
remaining,20,0.9996764801035264,0.9977814753189129,0.9974201769933883,0.998656114678214,0.9985463589406038,0.9999970034485463,0.002218524681087075
remaining,21,0.9390133171912833,0.9766161616161616,0.9760307797814491,0.9578033515041389,0.9570319832849004,0.9933889337279169,0.023383838383838396
remaining,22,0.8658129175946547,0.8693634818977911,0.4483200210958427,0.8689905252076267,0.588427996956026,0.938229394297265,0.1306365181022089
remaining,23,0.9832516703786192,0.990599396291505,0.9901844329087313,0.9869851007887819,0.9866666167309264,0.9991701361177299,0.009400603708495048
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,9,0.30311269454340894,0.6482521847690386,0.40519142787063256,0.47361117700080646,0.32629349874637037,0.4335419155860883,0.3517478152309613
 
remaining,1,0.9994909322303531,0.9981039555410264,0.9981603873837486,0.9988068365043535,0.9988241594682826,0.9999961849040148,0.0018960444589735273
remaining,2,0.988734693877551,0.99125,0.9897183369016155,0.990093808630394,0.9892205065199325,0.9995843839758125,0.008749999999999999
remaining,3,0.9865856012352827,0.9837878787878789,0.9849332205715932,0.9852186358701016,0.9855825937405253,0.9995600255595912,0.016212121212121216
remaining,5,0.9893333333333334,0.9674603174603174,0.9657820731109904,0.9779566563467492,0.9773447245685067,0.9980230414746545,0.032539682539682556
remaining,6,0.8690312213039486,0.8824277574277575,0.8727234525740645,0.8761326860841423,0.8671675156486175,0.9604242427395836,0.11757224257224255
remaining,8,0.9893095768374165,0.9911111111111112,0.9911220257385251,0.9902113459399333,0.9902050503286512,0.9983895075476369,0.008888888888888858
remaining,10,0.961638679791546,0.9688461538461538,0.9645046089354411,0.9654609736197988,0.9629523854783387,0.9934610930470803,0.03115384615384616
remaining,13,0.9699641577060932,0.9915873015873017,0.9925534767173856,0.980225988700565,0.9801628641314202,0.9998563918757468,0.008412698412698427
remaining,14,0.8438505320465232,0.9257777777777777,0.9537431781898288,0.8731521220791607,0.8938197605030337,0.9565754351233192,0.07422222222222223
remaining,16,0.846325167037862,0.8496296296296295,0.8523268187039316,0.8479792361883574,0.8471956591032783,0.9306147405757651,0.15037037037037035
remaining,17,0.9272457312546399,0.9706666666666667,0.9080041307898649,0.9606635881648709,0.9168189473455389,0.9916907943578321,0.029333333333333322
remaining,18,0.9604379100466368,0.990925925925926,0.992124038955613,0.9744787002686452,0.9756348937209469,0.9990162338945537,0.009074074074074068
remaining,19,0.9947853450213531,0.9952444444444444,0.995190135248551,0.9950162029277014,0.9949778992955607,0.9998540615868734,0.00475555555555555
remaining,20,0.9998705920414105,0.987742651136994,0.986013426599056,0.9933403016275945,0.9928649646247847,0.9999915486482951,0.01225734886300609
remaining,21,0.9469834543987086,0.945050505050505,0.9469859583122529,0.9460175651120533,0.9466462079684841,0.9855834525643847,0.05494949494949497
remaining,22,0.8530066815144766,0.8729577832963011,0.449923410357527,0.8708620891332319,0.5857776769061107,0.9365693495675341,0.12704221670369886
remaining,23,0.9923385300668152,0.986287192755498,0.9859615966865848,0.9892638036809815,0.9891294543457969,0.9990925356621153,0.013712807244501945
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,10,0.6522389500096506,0.7145726495726495,0.672877274825809,0.6852959840449642,0.6341080651838594,0.7711465586784058,0.2854273504273504
 
remaining,1,0.9994272987591473,1.0,1.0,0.9997097710415994,0.9997133301196163,0.9999997378941688,0.0
remaining,2,0.9974421768707483,0.9881944444444444,0.9863124558455864,0.9924452782989368,0.9918347288230588,0.99986611866969,0.01180555555555555
remaining,3,0.9978286045165027,0.9867676767676768,0.9877204612660848,0.9924242424242423,0.9926872607552748,0.9999166973732695,0.013232323232323207
remaining,5,0.9955268817204301,0.961984126984127,0.9608766442665433,0.9780804953560371,0.97773881099532,0.9988831199863458,0.03801587301587304
remaining,6,0.9524793388429753,0.8252442002442002,0.8431394566936743,0.8850323624595469,0.8896732394571745,0.9795665981745526,0.1747557997557998
remaining,8,0.9973273942093541,0.9922222222222222,0.9923004637747646,0.9947719688542825,0.9947894017807963,0.999545162088592,0.007777777777777772
remaining,9,0.9949606225389087,0.9909488139825219,0.9912008105428101,0.9929787940604393,0.9930742455022334,0.9996537963812167,0.009051186017478147
