,0,1,2
79,-10.740039825439453,-15.069939613342285,1.0
80,-17.93906593322754,-25.801143646240234,1.0
81,-16.19348907470703,-23.302701950073242,1.0
82,-5.810630798339844,-7.063838481903076,1.0
83,-11.548015594482422,-16.24580955505371,1.0
84,-11.729246139526367,-16.24831199645996,1.0
85,-15.883622169494629,-22.446989059448242,1.0
86,-20.8067569732666,-30.35423469543457,1.0
87,-19.200469970703125,-27.63701057434082,1.0
88,-13.047957420349121,-18.05558204650879,1.0
89,-12.227946281433105,-16.654802322387695,1.0
90,-15.347408294677734,-21.590423583984375,1.0
91,-14.017406463623047,-19.347396850585938,1.0
92,-13.320348739624023,-18.43950843811035,1.0
93,-15.802408218383789,-22.372039794921875,1.0
94,-7.916812896728516,-10.556687355041504,1.0
95,-11.239370346069336,-15.400785446166992,1.0
96,-14.784570693969727,-21.18395233154297,1.0
97,-15.531760215759277,-22.208810806274414,1.0
98,-10.098196029663086,-13.359591484069824,1.0
99,-13.32335376739502,-18.879650115966797,1.0
100,-16.97398567199707,-24.38671875,1.0
101,-14.340020179748535,-20.359146118164062,1.0
102,-17.433210372924805,-25.38762092590332,1.0
103,-14.162282943725586,-20.247840881347656,1.0
104,-16.457853317260742,-23.50697135925293,1.0
105,-14.626839637756348,-20.554000854492188,1.0
106,-10.667647361755371,-14.407913208007812,1.0
107,-15.446678161621094,-21.819650650024414,1.0
108,-6.515036106109619,-8.239370346069336,1.0
109,-5.718810558319092,-6.643772602081299,1.0
110,-7.531421184539795,-9.65835189819336,1.0
111,-18.574567794799805,-26.725065231323242,1.0
112,-17.18692970275879,-24.502822875976562,1.0
113,-10.28148365020752,-14.044229507446289,1.0
114,-5.551021099090576,-6.773105144500732,1.0
115,-12.086974143981934,-16.60174560546875,1.0
116,-20.87510871887207,-30.162256240844727,1.0
117,-20.38824462890625,-29.31100845336914,1.0
118,-12.582784652709961,-17.6138973236084,1.0
119,-21.44023323059082,-31.249990463256836,1.0
120,-17.47035026550293,-25.092144012451172,1.0
121,-14.300990104675293,-20.18288803100586,1.0
122,-9.766947746276855,-13.413426399230957,1.0
123,-17.536474227905273,-25.293893814086914,1.0
124,-12.259281158447266,-16.916603088378906,1.0
125,-19.804630279541016,-28.675424575805664,1.0
126,-10.601344108581543,-14.773397445678711,1.0
127,-8.83588695526123,-11.715993881225586,1.0
128,-11.701122283935547,-15.995255470275879,1.0
129,-11.186321258544922,-15.303750991821289,1.0
130,-14.930249214172363,-21.064430236816406,1.0
131,-19.943740844726562,-28.80215072631836,1.0
132,-15.790205955505371,-22.375581741333008,1.0
133,-8.923466682434082,-11.9598388671875,1.0
134,-7.334869861602783,-9.625143051147461,1.0
135,-21.249767303466797,-30.995765686035156,1.0
136,-10.49443244934082,-14.247647285461426,1.0
137,-13.537833213806152,-19.343887329101562,1.0
138,-18.386547088623047,-26.199275970458984,1.0
139,-14.733701705932617,-20.523210525512695,1.0
140,-15.537763595581055,-21.73206901550293,1.0
141,-13.771926879882812,-19.53627586364746,1.0
142,-14.910053253173828,-21.24032974243164,1.0
143,-17.884714126586914,-25.875228881835938,1.0
