 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
remaining,10,0.9509264620729588,0.971111111111111,0.9660531669666018,0.9616308584897109,0.9582165493936706,0.9884193230690045,0.02888888888888889
remaining,13,0.9680286738351254,0.9667460317460317,0.9723959487213102,0.9674199623352168,0.9690562883678253,0.9985733401604368,0.03325396825396828
remaining,14,0.682133135362534,0.8806666666666666,0.8982722936904399,0.7531394054999206,0.7583333844282955,0.8864764497236658,0.11933333333333335
remaining,16,0.6661098737936154,0.7814814814814813,0.7617148001783259,0.7238598442714127,0.7076239623022927,0.8172739833374577,0.21851851851851853
remaining,18,0.9817800964350644,0.990787037037037,0.9920606551957611,0.9859281054112831,0.9868290907090516,0.9993088491028378,0.009212962962962978
remaining,20,0.9936590100291168,0.9884636716583473,0.9868797685049913,0.9908615798118561,0.9901673905420418,0.9997672738182327,0.011536328341652791
remaining,23,0.9982182628062362,0.9913755929279862,0.9911842647611687,0.9947414548641541,0.9946796037877276,0.9998359633933296,0.008624407072013795
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,5,0.4511827956989247,0.5203968253968254,0.41028212215862936,0.4871826625386997,0.4205240465783957,0.45474563918757466,0.4796031746031746
 
remaining,1,0.9998090995863825,0.9983654789146781,0.9984185570190309,0.999097065462754,0.9991115173076078,0.9999277461592395,0.0016345210853220113
remaining,3,0.9882262111561474,0.9655555555555556,0.9684840326190248,0.977149343598855,0.9780355571954464,0.9980307416960573,0.034444444444444444
remaining,6,0.863234618916437,0.8444749694749696,0.840720610453651,0.8532901833872708,0.84914700633061,0.9399431586931587,0.15552503052503053
remaining,8,0.9369710467706014,0.9915555555555556,0.991179618630009,0.9642936596218019,0.9626965692925898,0.9979745112595892,0.00844444444444441
remaining,10,0.9644373673036094,0.9497435897435899,0.9453578324124011,0.9566449097996556,0.9546821465964013,0.9880438943575887,0.050256410256410235
remaining,13,0.9882437275985664,0.960079365079365,0.9682086501789127,0.9748775894538606,0.9771668541481274,0.9992500085338795,0.03992063492063493
remaining,14,0.9477852016827516,0.7122222222222222,0.8649512365717543,0.8635352090287712,0.9019148854071327,0.9247712612389672,0.28777777777777774
remaining,16,0.8424276169265034,0.6788888888888889,0.7313281963547279,0.7605672969966629,0.7807098669605911,0.8446127196238554,0.3211111111111111
remaining,18,0.9880246620820489,0.9925,0.993583271445647,0.9900857106306767,0.9907520619419845,0.9996001853169271,0.0074999999999999884
remaining,20,0.9981882885797477,0.9879090404880755,0.9863796523249004,0.9926534269075706,0.9921643155996052,0.9999035720508237,0.01209095951192456
remaining,23,0.9990200445434297,0.9884432945235015,0.9882054591334899,0.9936459246275197,0.9935800080913072,0.9998554019233005,0.011556705476498475
 
 
 
