 ,Sn,Sp,precision,acc,f1_score,auc,fpr
20,0.9967648010352637,0.9961175818080976,0.9954765751211632,0.996416305808571,0.9961202715809894,0.9996440025099259,0.0038824181919023815
23,0.9933184855233853,0.9672272531263476,0.9670424978317432,0.9800613496932515,0.9800043946385409,0.9990282655817968,0.03277274687365239
 
 
 
test_th=-4
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.9997104806022004,0.9957575757575757,0.9959619267378137,0.9977790938702991,0.9978326831382749,0.9999943850783457,0.00424242424242427
5,0.5195698924731182,0.9984126984126984,0.9966996699669967,0.7686274509803922,0.6830647441334465,0.9946550605905444,0.0015873015873015817
6,0.6415289256198347,0.8566849816849816,0.7987138263665595,0.7555825242718447,0.7115439702091091,0.8623792164275119,0.14331501831501836
8,0.9732739420935412,0.9988888888888889,0.9988571428571429,0.9860956618464961,0.9858996051889454,0.9997401633259094,0.0011111111111110628
10,0.697452229299363,0.8948717948717949,0.8545583540262505,0.802148490617351,0.7680535628885701,0.8954066262824225,0.10512820512820509
13,1.0,0.6123809523809524,0.7406817457789104,0.816045197740113,0.8510248901903367,0.999726472094214,0.38761904761904764
14,0.9955456570155902,0.9386666666666666,0.9668348954578226,0.9752026704816404,0.9809802487198244,0.9981954961643158,0.06133333333333335
16,0.9220489977728286,0.7655555555555555,0.7969201154956689,0.8437152391546162,0.8549303045947341,0.9263536253402622,0.23444444444444446
18,0.9938344794877876,0.9980555555555556,0.9983325393044307,0.995778431623385,0.996078431372549,0.9999187811240218,0.0019444444444444153
20,1.0,0.9944536882972823,0.9935711989713918,0.9970135881738091,0.9967752337955498,0.9999999102828906,0.005546311702717688
23,0.9273942093541203,0.9978438982319966,0.9976042165788213,0.9631901840490797,0.961218836565097,0.9992748967328094,0.0021561017680034045
 
 
 
test_th=-3
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,1.0,0.9606060606060606,0.9637276785714286,0.9807521468759254,0.9815288434214265,0.9997973364215402,0.039393939393939426
5,0.9991397849462366,0.9984126984126984,0.9982810485603781,0.9987616099071207,0.9987102321582114,0.9999907834101383,0.0015873015873015817
6,0.7753099173553719,0.9739010989010989,0.9634146341463414,0.8805825242718447,0.859187178019462,0.9771670091272363,0.026098901098901117
8,0.9888641425389755,0.9988888888888889,0.9988751406074241,0.9938820912124583,0.9938444320089536,0.9999777282850779,0.0011111111111110628
10,0.9863925883034164,0.9792307692307692,0.9767775229357798,0.9825945063910797,0.9815615096513973,0.9982952875150328,0.020769230769230762
13,1.0,0.9995238095238095,0.9995700773860705,0.999774011299435,0.9997849924747366,1.0,0.0004761904761905189
14,0.9948032665181886,0.9933333333333333,0.9962825278810409,0.994277539341917,0.9955423476968797,0.9998960653303638,0.00666666666666671
16,0.576837416481069,0.9977777777777778,0.9961538461538462,0.7875417130144605,0.7306064880112835,0.965329126453848,0.0022222222222222365
18,0.9959686981266304,0.9997222222222222,0.9997619614377529,0.9976973263400282,0.9978617248752673,0.9999930835507074,0.0002777777777778212
20,0.9957942413458428,0.9988907376594565,0.9987021414665801,0.9974615499477378,0.9972460716021384,0.9999727259987443,0.0011092623405435376
23,1.0,0.9969814575247952,0.9968916518650088,0.9984662576687117,0.9984434067155882,1.0,0.003018542475204833
 
 
 
test_th=-2
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.9852345107122177,1.0,1.0,0.9924489191590169,0.9925623450488552,0.9999968416065694,0.0
5,0.9991397849462366,0.9984126984126984,0.9982810485603781,0.9987616099071207,0.9987102321582114,0.9999938556067588,0.0015873015873015817
6,0.7768595041322314,0.9652014652014652,0.9518987341772152,0.8766990291262136,0.8555176336746303,0.9681558971331697,0.034798534798534786
8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.9962362478286045,0.9992307692307693,0.9991289198606271,0.997824313298885,0.9976804870977094,0.9999686725164432,0.0007692307692307443
13,0.8946236559139785,1.0,1.0,0.9446327683615819,0.9443813847900114,0.9999895545314901,0.0
14,0.9970304380103935,1.0,1.0,0.9980925131139723,0.9985130111524164,0.9999960405840139,0.0
16,0.5935412026726058,0.9633333333333334,0.941696113074205,0.778642936596218,0.7281420765027322,0.9294370205394705,0.036666666666666625
18,0.9990514583827366,0.9994444444444445,0.9995255041518387,0.9992324421133427,0.9992884250474384,0.9999982214844676,0.0005555555555555314
20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0.9942093541202672,0.9991375592927986,0.999104744852283,0.9967134092900964,0.9966510381781648,0.9999900118225447,0.0008624407072014284
 
 
 
test_th=-1
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,1.0,0.9984126984126984,0.9982825246887076,0.9991744066047472,0.9991405242801891,1.0,0.0015873015873015817
6,0.9147727272727273,0.9720695970695971,0.9667030567685589,0.9451456310679611,0.9400212314225054,0.9889371991644719,0.027930402930402942
8,0.9977728285077951,0.9933333333333333,0.9933481152993349,0.9955506117908788,0.9955555555555555,0.9999158624102944,0.00666666666666671
10,0.973364215402432,0.9976923076923077,0.9973301690892911,0.9862659776992113,0.9852014652014652,0.9996177601591614,0.002307692307692344
13,0.9965591397849463,0.9723809523809523,0.9755789473684211,0.9850847457627119,0.9859574468085106,0.9996725038402458,0.027619047619047654
14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,0.9844097995545658,0.91,0.9160621761658031,0.9471635150166852,0.9490069779924852,0.9913746597376887,0.08999999999999997
18,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0
20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,1.0,0.9965502371711945,0.9964491788726143,0.9982471516213848,0.9982214317474434,1.0,0.0034497628288054916
 
 
 
